,index_x,Reporter_Country Code_x,Reporter_Countries,Partner_Countries,Item,Element,Unit,index_y,Reporter_Country_Code_y,quantity_sum,reporter_codes,variable,value
0,2035696,185,Russian Federation,Afghanistan,Wheat,Export Quantity,tonnes,7079058,618,587407.0,AFG,quantity,3389.0
1,2035761,185,Russian Federation,Albania,Wheat,Export Quantity,tonnes,13637420,1321,245700.0,ALB,quantity,149277.0
2,2549916,230,Ukraine,Albania,Wheat,Export Quantity,tonnes,13637420,1321,245700.0,ALB,quantity,22956.0
3,2035880,185,Russian Federation,Angola,Wheat,Export Quantity,tonnes,14750401,1304,579739.0,AGO,quantity,199652.0
4,2036587,185,Russian Federation,Armenia,Wheat,Export Quantity,tonnes,2036587,185,334864.0,ARM,quantity,334864.0
5,2037675,185,Russian Federation,Azerbaijan,Wheat,Export Quantity,tonnes,9292808,805,1403540.0,AZE,quantity,1385007.0
6,2037876,185,Russian Federation,Bangladesh,Wheat,Export Quantity,tonnes,13258968,1154,6014981.0,BGD,quantity,1940855.0
7,2551649,230,Ukraine,Bangladesh,Wheat,Export Quantity,tonnes,13258968,1154,6014981.0,BGD,quantity,1514725.0
8,2038546,185,Russian Federation,Belarus,Wheat,Export Quantity,tonnes,9031335,913,18802.0,BLR,quantity,15723.0
9,2552105,230,Ukraine,Belarus,Wheat,Export Quantity,tonnes,9031335,913,18802.0,BLR,quantity,1277.0
10,2039301,185,Russian Federation,Benin,Wheat,Export Quantity,tonnes,4592016,415,22502.0,BEN,quantity,22500.0
11,2552715,230,Ukraine,Benin,Wheat,Export Quantity,tonnes,4592016,415,22502.0,BEN,quantity,2.0
12,2039715,185,Russian Federation,Brazil,Wheat,Export Quantity,tonnes,10627499,929,5912452.0,BRA,quantity,237558.0
13,2040048,185,Russian Federation,Bulgaria,Wheat,Export Quantity,tonnes,15714428,1479,26379.0,BGR,quantity,9378.0
14,2040096,185,Russian Federation,Burkina Faso,Wheat,Export Quantity,tonnes,2895573,253,163130.0,BFA,quantity,6300.0
15,2040106,185,Russian Federation,Burundi,Wheat,Export Quantity,tonnes,7006125,613,33806.0,BDI,quantity,17131.0
16,2040112,185,Russian Federation,Cabo Verde,Wheat,Export Quantity,tonnes,6830388,606,12732.0,CPV,quantity,10000.0
17,2040205,185,Russian Federation,Cameroon,Wheat,Export Quantity,tonnes,4758447,412,815783.0,CMR,quantity,388500.0
18,2041494,185,Russian Federation,"China, mainland",Wheat,Export Quantity,tonnes,17330876,1499,10369734.0,CHN,quantity,57013.0
19,2554586,230,Ukraine,"China, mainland",Wheat,Export Quantity,tonnes,17330876,1499,10369734.0,CHN,quantity,5928.0
20,2041805,185,Russian Federation,Congo,Wheat,Export Quantity,tonnes,8233389,714,245269.0,COG,quantity,184254.0
21,2041997,185,Russian Federation,Côte d'Ivoire,Wheat,Export Quantity,tonnes,7035766,611,667338.0,CIV,quantity,64968.0
22,2042507,185,Russian Federation,Cyprus,Wheat,Export Quantity,tonnes,21194473,1841,77368.0,CYP,quantity,24943.0
23,2555660,230,Ukraine,Cyprus,Wheat,Export Quantity,tonnes,21194473,1841,77368.0,CYP,quantity,9004.0
24,2043023,185,Russian Federation,Democratic People's Republic of Korea,Wheat,Export Quantity,tonnes,3180173,285,50571.0,PRK,quantity,50000.0
25,2043061,185,Russian Federation,Democratic Republic of the Congo,Wheat,Export Quantity,tonnes,8647023,753,326329.0,COD,quantity,199027.0
26,2043844,185,Russian Federation,Egypt,Wheat,Export Quantity,tonnes,19272793,1665,13236015.0,EGY,quantity,8254555.0
27,2556955,230,Ukraine,Egypt,Wheat,Export Quantity,tonnes,19272793,1665,13236015.0,EGY,quantity,3075224.0
28,2044358,185,Russian Federation,Ethiopia,Wheat,Export Quantity,tonnes,10624667,944,861383.0,ETH,quantity,52000.0
